CNTY_FIPS,Housing and transportation costs as a percent of income for Median-Income Family households
13279,55.48216763
13279,54.64786551
13253,66.23915836
13001,69.44266466
13009,55.03759182
13121,47.69487819
13121,49.6843225
13077,44.83436105
13275,60.21006265
13253,59.67876693
13279,57.66438066
13051,63.38456474
13089,61.01216155
13089,46.10908658
13089,44.62712601
13275,51.13320796
13185,50.44944734
13121,50.48681143
13067,54.88326445
13067,54.95730465
13021,72.06234862
13067,53.51359532
13051,52.31479801
13051,54.52477443
13051,56.58549175
13051,56.6257063
13051,54.57253947
13089,53.92947573
13045,51.78625868
13045,51.95622552
13045,55.27334641
13067,51.33634811
13067,54.28333309
13067,54.13729098
13121,56.82403251
13067,55.24681298
13067,70.05211531
13133,70.70485368
13133,68.62616685
13133,66.35526939
13283,49.34527355
13283,53.00858337
13227,55.87381929
13171,55.30999006
13171,57.14834285
13171,50.12292547
13213,49.41618665
13213,53.60760313
13133,69.98155399
13211,70.49676488
13129,71.26265667
13129,62.38675892
13089,63.19924718
13089,63.85786199
13121,62.29747724
13121,63.16061113
13227,61.48023688
13213,56.9034844
13213,55.02969445
13213,58.86862704
13211,56.91918822
13211,63.40233021
13211,63.66123954
13109,75.35370962
13109,62.88121687
13109,47.39434526
13301,72.32975595
13213,56.37285175
13051,55.93834478
13051,56.42651602
13189,56.01413289
13189,56.97866333
13031,57.74563773
13211,63.52517136
13051,54.75037218
13121,60.47866841
13121,56.68865194
13121,55.27157398
13121,57.3004128
13121,60.49405394
13121,62.2552537
13121,62.05786889
13215,61.3576344
13227,57.89969395
13227,64.9872233
13253,63.735625
13279,65.42582947
13067,66.89982203
13067,64.68479559
13129,61.69756046
13129,63.24675359
13031,70.87249796
13065,50.8907717
13065,52.84774834
13275,51.76145955
13067,48.74808574
13067,59.63294143
13067,59.83280127
13067,65.22380903
13051,59.68449001
13051,61.53628871
13089,59.2055512
13089,57.70161134
13051,59.53913159
13051,62.53157724
13051,57.74178572
13121,56.10660841
13045,98.83263927
13067,97.49087011
13067,102.6711631
13067,64.22714266
13067,64.90598331
13067,55.8322762
13067,56.87670519
13031,65.264586
13031,67.62649651
13215,62.23610002
13215,60.73329575
13215,59.57498408
13067,62.68764861
13067,59.51430688
13067,66.50207518
13051,67.35983948
13045,64.93670625
13275,63.93883047
13275,66.5393715
13275,61.4821378
13275,60.21720226
13275,63.4475718
13275,63.24320297
13227,59.1528037
13227,63.49741145
13067,62.8638973
13067,64.10565256
13067,61.71376612
13051,57.02898928
13067,56.50513022
13067,63.88389842
13067,65.13274574
13067,66.68087273
13051,57.56851435
13051,60.51627126
13051,61.25223037
13051,58.88112448
13051,58.39751512
13051,59.64116464
13045,59.13361544
13045,58.27094185
13215,58.25525243
13215,59.20392185
13121,58.88050912
13215,60.3205075
13215,67.37438921
13275,65.77193783
13275,64.12837604
13005,65.99489579
13197,52.73454436
13197,58.44165342
13129,55.17389487
13129,57.5481634
13129,56.99174967
13129,54.2140267
13129,75.34755968
13121,63.9044606
13115,63.10886418
13115,61.65293167
13115,60.66657089
13115,56.82238888
13051,49.44394391
13051,53.11326466
13089,58.155013
13089,57.53915522
13089,57.68733416
13121,66.42096555
13067,65.36887566
13067,49.26559744
13067,46.35184713
13051,57.2202218
13051,58.63373293
13051,59.02929228
13051,61.85840373
13089,58.0718274
13089,71.98687289
13089,72.21029168
13045,72.94222305
13317,68.41736827
13067,56.68069597
13067,63.46943033
13051,63.7087755
13051,61.66283885
13089,63.61190703
13045,90.85797707
13045,88.86061647
13045,90.4594351
13045,59.05518401
13121,55.20289923
13121,52.15875817
13121,55.24159983
