Counties,FIPS County Codes,State,Crime Index,Median Income,income normalized,Location Affordability,Unemployment,UniqueID,MONEYMOVES,,Crime Weight,Income Weight,Affordability Weight,Unemployment Weight
Forsyth County,13117,Georgia,74,96445,2.242992719,55.9076293,8.2,2551,2.002314048,,-0.2,0.2,0.6,0.4
Fayette County,13113,Georgia,56,84861,1.973587072,59.3935009,8.3,2210,1.850563778,,,,,
Oconee County,13219,Georgia,52,77388,1.79978973,64.415542,7.2,2558,1.755038603,,,,,
Cherokee County,13057,Georgia,72,75477,1.755346171,63.3658743,9,2302,1.669468334,,,,,
Columbia County,13073,Georgia,71,74162,1.724763607,61.0223292,7.9,2631,1.631436895,,,,,
Harris County,13145,Georgia,48,69539,1.617247869,57.8057071,7.5,1346,1.573769704,,,,,
Bryan County,13029,Georgia,64,68589,1.595154001,58.2236136,8.3,1297,1.524533955,,,,,
Cobb County,13067,Georgia,103,72004,1.674575641,59.9613615,10,2303,1.51534683,,,,,
Coweta County,13077,Georgia,81,67570,1.57145542,61.5229644,10.9,2208,1.491384374,,,,,
Effingham County,13103,Georgia,67,64279,1.494917611,59.3303167,10.2,1300,1.445873482,,,,,
Paulding County,13223,Georgia,69,63669,1.480731022,60.5847901,10.4,2308,1.438779936,,,,,
Lee County,13177,Georgia,68,65018,1.512104314,56.2139636,8.6,1392,1.436271034,,,,,
Gwinnett County,13135,Georgia,95,64496,1.499964315,59.0243539,9.7,2553,1.387434704,,,,,
Henry County,13151,Georgia,109,64752,1.505918031,59.604074,10.3,2567,1.365905617,,,,,
Pickens County,13227,Georgia,102,61542,1.431264015,60.4818648,8.7,2309,1.327596235,,,,,
Morgan County,13211,Georgia,95,59572,1.38544831,63.6009388,12.2,2572,1.327395283,,,,,
Long County,13183,Georgia,39,53083,1.234535564,61.1063965,10.3,1412,1.31127892,,,,,
Dawson County,13085,Georgia,116,62284,1.448520489,60.260084,11,2548,1.309623645,,,,,
Jones County,13169,Georgia,48,55110,1.281676901,57.939802,10.9,2569,1.307899115,,,,,
Jackson County,13157,Georgia,80,57999,1.348865516,59.6621662,10.9,2556,1.303977124,,,,,
Pike County,13231,Georgia,54,52377,1.218116332,65.1428271,11.1,2213,1.293221983,,,,,
Barrow County,13013,Georgia,105,56119,1.305142915,60.5528845,10.8,2546,1.22134192,,,,,
Catoosa County,13047,Georgia,92,54537,1.268350811,59.9810345,8.2,2224,1.216251429,,,,,
Camden County,13039,Georgia,97,53687,1.248582613,63.7293641,11.2,1430,1.215144238,,,,,
Walton County,13297,Georgia,94,55876,1.299491536,56.7696199,10.1,2560,1.214942131,,,,,
Douglas County,13097,Georgia,140,59333,1.379889958,59.9084855,11.5,2209,1.200927822,,,,,
Hall County,13139,Georgia,108,55622,1.293584333,55.791655,9.7,2554,1.17343219,,,,,
Monroe County,13207,Georgia,77,50666,1.178324113,59.0454488,7.9,2571,1.17068831,,,,,
Fulton County,13121,Georgia,171,61336,1.426473134,59.6003009,12.9,2305,1.169026376,,,,,
Houston County,13153,Georgia,140,55965,1.301561382,62.863118,8.9,1391,1.15867065,,,,,
Newton County,13217,Georgia,125,52784,1.22758181,65.1190735,12.5,2573,1.14748381,,,,,
Chattahoochee County,13053,Georgia,53,46096,1.072040981,56.9679003,17.8,1345,1.123873251,,,,,
Heard County,13149,Georgia,53,44897,1.044156194,60.2128606,13.6,2211,1.123685509,,,,,
Bartow County,13015,Georgia,111,52393,1.218488439,57.7193329,11.3,2300,1.120319518,,,,,
Rockdale County,13247,Georgia,134,54175,1.259931884,59.9363247,11.7,2575,1.118687955,,,,,
Carroll County,13045,Georgia,105,46844,1.089436994,68.1592903,11.5,2206,1.101379873,,,,,
Madison County,13191,Georgia,57,43285,1.006666389,62.1076108,7.6,2557,1.098090262,,,,,
DeKalb County,13089,Georgia,152,55876,1.299491536,57.2307616,11.8,2549,1.0929963,,,,,
McDuffie County,13195,Georgia,106,47653,1.108251667,63.0861188,13.9,2635,1.079816593,,,,,
Chatham County,13051,Georgia,133,52215,1.214348746,58.1078005,10.6,1298,1.072219701,,,,,
Crawford County,13079,Georgia,38,41032,0.9542690367,58.3150314,11,1387,1.071715294,,,,,
Charlton County,13049,Georgia,50,43257,1.006015201,55.9545187,11,1431,1.070987439,,,,,
Putnam County,13237,Georgia,104,48340,1.124229022,59.1380613,10.9,2574,1.070088038,,,,,
Oglethorpe County,13221,Georgia,53,43938,1.021853016,54.6529211,8.2,2559,1.068292647,,,,,
Brantley County,13025,Georgia,43,36812,0.8561257502,69.2998903,11,1404,1.057318602,,,,,
Dade County,13083,Georgia,61,43163,1.003829071,57.3428643,9.6,2278,1.054933742,,,,,
Baker County,13007,Georgia,80,43867,1.02020179,60.937086,13.6,1310,1.051325494,,,,,
Greene County,13133,Georgia,102,45069,1.048156347,64.000388,11.5,2565,1.04685936,,,,,
Pierce County,13229,Georgia,71,39863,0.927081951,67.8717845,10,1415,1.043676718,,,,,
Gilmer County,13123,Georgia,91,46211,1.074715501,56.6571053,10.8,2226,1.041952146,,,,,
Habersham County,13137,Georgia,75,44474,1.034318608,55.7057029,10.2,2581,1.037893953,,,,,
Turner County,13287,Georgia,89,42622,0.9912471945,64.08148,13.5,1400,1.030198704,,,,,
Glascock County,13125,Georgia,54,45273,1.052900714,45.3571367,12.6,2632,1.027851549,,,,,
Walker County,13295,Georgia,82,43581,1.013550373,58.8231114,8.9,2279,1.027405266,,,,,
Floyd County,13115,Georgia,113,46096,1.072040981,61.4811701,11.3,2304,1.025062924,,,,,
Gordon County,13129,Georgia,92,43452,1.010550258,61.9854582,12.8,2306,1.024877525,,,,,
Whitfield County,13313,Georgia,96,43871,1.020294817,61.2852788,11.4,2228,1.019256101,,,,,
Murray County,13213,Georgia,59,41617,0.967874208,55.3350713,11.9,2227,1.017062009,,,,,
Jasper County,13159,Georgia,92,42067,0.9783397243,64.1809204,12.8,2568,1.01414174,,,,,
Fannin County,13111,Georgia,93,43344,1.008038534,60.4866831,10.1,2225,1.010571953,,,,,
Haralson County,13143,Georgia,89,43663,1.015457422,57.8721159,10.4,2307,1.007384936,,,,,
Bacon County,13005,Georgia,62,38824,0.9029182366,62.0787898,10.9,1403,1.0046334,,,,,
Lumpkin County,13187,Georgia,94,43039,1.00094524,60.3269195,11.1,2582,1.001694209,,,,,
Jeff Davis County,13161,Georgia,73,37267,0.86670755,68.8544086,14.2,1360,0.9980224122,,,,,
Montgomery County,13209,Georgia,61,40308,0.9374311838,56.0795153,8.8,1414,0.9935897667,,,,,
White County,13311,Georgia,120,43944,1.021992556,64.6952867,8.4,2585,0.9919515663,,,,,
Banks County,13011,Georgia,95,42182,0.9810142452,61.3219188,7,2545,0.9904326093,,,,,
Hart County,13147,Georgia,102,41216,0.9585482701,64.8884333,13.8,2555,0.9816363669,,,,,
Glynn County,13127,Georgia,148,47546,1.1057632,62.0226392,9.7,1409,0.9800669061,,,,,
Peach County,13225,Georgia,109,43645,1.015038802,60.0768577,18.1,1395,0.9788591641,,,,,
Macon County,13189,Georgia,91,40469,0.941175513,62.7490496,16.3,1393,0.9770533779,,,,,
Worth County,13321,Georgia,80,40369,0.9388498427,59.5139,13.6,1401,0.97701034,,,,,
Schley County,13249,Georgia,50,41267,0.9597343619,47.23144,14.1,1396,0.97510591,,,,,
Wilcox County,13315,Georgia,43,35457,0.8246129176,59.9079629,10.9,1367,0.9686470012,,,,,
Bleckley County,13023,Georgia,85,40688,0.9462687309,58.9067113,12.5,1355,0.9680135364,,,,,
Tattnall County,13267,Georgia,63,36355,0.8454974369,63.2186942,10.1,1416,0.9645489611,,,,,
Treutlen County,13283,Georgia,54,39375,0.9157326799,51.1769285,13.8,1418,0.9582249815,,,,,
Appling County,13001,Georgia,77,37089,0.8625678569,63.8074854,10,1402,0.9519190991,,,,,
Echols County,13101,Georgia,62,34315,0.7980537628,66.3624194,8.7,1380,0.9502825304,,,,,
Union County,13291,Georgia,106,42767,0.9946194164,56.7980078,8.6,2584,0.9468846401,,,,,
Liberty County,13179,Georgia,122,43493,1.011503783,59.8524876,11.9,1411,0.946496169,,,,,
Rabun County,13241,Georgia,115,39297,0.9139186571,68.9373483,13,2597,0.945549485,,,,,
Talbot County,13263,Georgia,56,37226,0.8657540252,55.6558535,11,1350,0.9445184855,,,,,
Evans County,13109,Georgia,90,38736,0.9008716467,61.8764239,11.9,1408,0.9412571959,,,,,
Miller County,13201,Georgia,71,37255,0.8664284696,59.8567972,7.8,1314,0.9411653975,,,,,
Wilkinson County,13319,Georgia,77,38711,0.9002902291,57.5273096,14.6,1368,0.9393678228,,,,,
Butts County,13035,Georgia,97,39655,0.9222445567,60.9003838,10.4,2564,0.9365425778,,,,,
Chattooga County,13055,Georgia,51,35718,0.8306829171,56.8106374,13.1,2301,0.9352410667,,,,,
Towns County,13281,Georgia,101,41182,0.9577575422,56.7840007,8.3,2583,0.928266423,,,,,
Wayne County,13305,Georgia,106,41534,0.9659439016,57.3516539,12.9,1419,0.9278378857,,,,,
Berrien County,13019,Georgia,64,38297,0.8906619541,52.6397905,12.1,1354,0.9266391596,,,,,
Bulloch County,13031,Georgia,93,39305,0.9141047107,59.0761645,12.1,1405,0.9263400136,,,,,
Grady County,13131,Georgia,73,39462,0.9177560131,51.5648943,11.9,1381,0.9214904834,,,,,
Screven County,13251,Georgia,76,36556,0.8501720342,58.7664952,16.4,1301,0.9100742058,,,,,
