FID,OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POPULATION,POP_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
1,1,Kauai,Hawaii,15,007,15007,73169,116.799999999999997,67091,107.099999999999994,22159,278,254,21016,6060,6315,608,16716,33701,33390,4281,4179,4055,4146,3472,8141,8372,10239,10221,5347,3022,1616,41.399999999999999,40.299999999999997,42.600000000000001,23240,2.840000000000000,2493,2762,5082,6572,963,1776,16147,3.310000000000000,29793,6553,13968,9272,591.000000000000000,244.000000000000000,30236.000000000000000,109160.000000000000000,626.570000000000050,2.938883703450000,0.141969982655000,1897992329.359375000000000,339276.117318764794618
2,2,Honolulu,Hawaii,15,003,15003,1014211,1681.099999999999909,953207,1580.000000000000000,198732,19256,2438,418410,90878,77433,10457,213036,477092,476115,61261,57818,56147,60344,73203,134446,125296,131724,114478,68927,47203,22360,37.700000000000003,36.100000000000001,39.299999999999997,311047,2.950000000000000,33882,37034,76399,84773,8564,21425,217842,3.480000000000000,336899,25852,174387,136660,999.000000000000000,69.000000000000000,22200.000000000000000,161650.000000000000000,603.309999999999945,4.223576321760000,0.136183778113000,1813624844.625000000000000,487019.877740754280239
3,3,Hawaii,Hawaii,15,001,15001,204027,50.700000000000003,185079,46.000000000000000,62348,1020,869,41050,22389,21383,2868,54535,92821,92258,11845,11478,11521,12089,10833,22225,21382,27523,29349,15008,8223,3603,40.899999999999999,40.200000000000003,41.700000000000003,67096,2.700000000000000,8593,8250,13002,18832,2596,5239,44407,3.220000000000000,82324,15228,44271,22825,4282.000000000000000,160.000000000000000,72028.000000000000000,57741.000000000000000,4027.829999999999927,5.616467001100000,0.898318364272000,11816727943.445312500000000,643473.455809338251129
4,4,Kalawao,Hawaii,15,005,15005,91,7.600000000000000,90,7.500000000000000,24,0,0,7,44,1,1,14,42,48,0,0,0,0,3,10,14,17,20,7,18,1,55.299999999999997,50.000000000000000,61.700000000000003,69,1.260000000000000,22,29,0,8,0,0,13,2.000000000000000,113,44,1,68,-99.000000000000000,-99.000000000000000,-99.000000000000000,-99.000000000000000,12.029999999999999,0.509271487208000,0.002709466902700,36005820.777343750000000,58632.528873536146421
5,5,Maui,Hawaii,15,009,15009,169713,146.300000000000011,154834,133.500000000000000,53336,870,603,44595,16051,15710,3051,36328,77587,77247,10020,9886,9816,9415,8318,20511,21309,24262,21494,11234,5911,2658,39.600000000000001,38.899999999999999,40.299999999999997,53886,2.820000000000000,6475,6635,11807,13601,2073,4324,35498,3.360000000000000,70379,16493,30055,23831,1128.000000000000000,203.000000000000000,49578.000000000000000,166755.000000000000000,1159.640000000000100,6.359883194630000,0.260689067082000,3457076476.210937500000000,728760.261723928852007
6,6,Aleutians East,Alaska,02,013,02013,3129,0.400000000000000,3141,0.400000000000000,660,219,876,1130,19,385,84,153,2093,1048,123,105,88,104,249,514,597,771,435,108,40,7,42.000000000000000,42.000000000000000,42.200000000000003,553,2.560000000000000,109,38,120,115,39,53,363,3.040000000000000,747,194,285,268,-99.000000000000000,-99.000000000000000,-99.000000000000000,-99.000000000000000,7036.890000000000327,57.570615881499997,2.581434923510000,56294569720.476562500000000,7964216.329331006854773
7,7,Bethel,Alaska,02,050,02050,17646,0.400000000000000,17013,0.400000000000000,1894,65,14109,160,27,181,45,713,8898,8115,1796,1762,1669,1618,1349,2257,1858,2210,1453,664,308,69,26.300000000000001,26.800000000000001,25.699999999999999,4651,3.590000000000000,609,330,1496,616,358,628,3436,4.220000000000000,5919,1268,2702,1949,-99.000000000000000,-99.000000000000000,-99.000000000000000,-99.000000000000000,41706.309999999997672,65.993317347200005,17.872406399700001,455971534361.062500000000000,9245442.685998689383268
8,8,Kusilvak,Alaska,02,158,02158,7885,0.400000000000000,7459,0.400000000000000,201,1,7085,18,0,7,3,151,3944,3515,903,829,861,821,724,847,779,788,503,244,119,41,22.199999999999999,22.199999999999999,22.100000000000001,1745,4.270000000000000,210,53,601,121,235,331,1419,4.740000000000000,2183,438,1247,498,-99.000000000000000,-99.000000000000000,-99.000000000000000,-99.000000000000000,17969.669999999998254,36.176671888000001,8.009874815420000,212569526363.156250000000000,5350737.899095727130771
9,9,Dillingham,Alaska,02,070,02070,4998,0.300000000000000,4847,0.300000000000000,878,11,3470,32,6,101,12,438,2541,2306,452,409,452,463,394,576,481,741,512,236,103,28,29.100000000000001,29.300000000000001,28.800000000000001,1563,3.070000000000000,249,151,407,270,88,211,1077,3.720000000000000,2427,864,934,629,-99.000000000000000,-99.000000000000000,-99.000000000000000,-99.000000000000000,19235.180000000000291,22.580214644400002,7.966169293870000,196335093787.593750000000000,3417955.258642743341625
10,10,Nome,Alaska,02,180,02180,9668,0.400000000000000,9492,0.400000000000000,1552,27,7199,96,9,115,22,587,5058,4434,1017,898,857,862,730,1342,1055,1233,895,389,178,36,27.699999999999999,28.300000000000001,26.899999999999999,2815,3.290000000000000,448,214,699,395,291,390,1981,3.910000000000000,4008,1193,1521,1294,-99.000000000000000,-99.000000000000000,-99.000000000000000,-99.000000000000000,23079.200000000000728,77.111747916100001,11.322301801900000,331082421702.562500000000000,11218521.514799540862441
11,11,Northwest Arctic,Alaska,02,188,02188,7749,0.200000000000000,7523,0.200000000000000,846,37,6121,42,12,58,17,448,4029,3494,882,688,699,710,708,980,841,942,618,264,155,36,25.699999999999999,26.899999999999999,24.600000000000001,1919,3.720000000000000,247,156,561,214,191,319,1428,4.320000000000000,2707,788,972,947,-99.000000000000000,-99.000000000000000,-99.000000000000000,-99.000000000000000,36417.099999999998545,52.699689997999997,19.438977100300001,618726034720.500000000000000,7791328.333700950257480
12,12,Bristol Bay,Alaska,02,060,02060,900,1.700000000000000,997,1.900000000000000,481,0,334,8,3,24,4,167,540,457,48,59,72,65,49,112,125,225,159,58,21,4,42.600000000000001,43.399999999999999,41.600000000000001,423,2.320000000000000,96,41,77,108,19,22,249,2.930000000000000,969,546,220,203,-99.000000000000000,-99.000000000000000,-99.000000000000000,-99.000000000000000,534.289999999999964,2.406825583580000,0.214536980699000,5123577583.375000000000000,321896.934525578108151
13,13,Lake and Peninsula,Alaska,02,164,02164,1577,0.100000000000000,1631,0.100000000000000,380,9,1061,6,5,43,6,164,859,772,138,122,138,149,129,226,162,274,166,91,26,10,30.800000000000001,32.799999999999997,28.600000000000001,553,2.880000000000000,87,40,121,128,40,59,393,3.380000000000000,1502,949,351,202,-99.000000000000000,-99.000000000000000,-99.000000000000000,-99.000000000000000,26174.540000000000873,43.358872953899997,10.484925797300001,250188987775.593750000000000,6385141.340596832334995
14,14,Kodiak Island,Alaska,02,150,02150,14169,2.100000000000000,13592,2.100000000000000,7522,92,1797,2660,87,996,397,1037,7197,6395,1151,979,1123,1004,962,2023,1790,2130,1515,641,202,72,32.700000000000003,32.299999999999997,33.100000000000001,4630,2.860000000000000,622,401,1381,1064,199,364,3233,3.340000000000000,5303,673,2648,1982,-99.000000000000000,-99.000000000000000,-99.000000000000000,-99.000000000000000,6627.060000000000400,66.821313092899999,2.582966405920000,59876396187.625000000000000,9559576.180021438747644
