OBJECTID,ID,AREA,NAME,CRMCYTOTC,CRMCYPERC,CRMCYMURD,CRMCYRAPE,CRMCYROBB,CRMCYASST,CRMCYPROC,CRMCYBURG,CRMCYLARC,CRMCYMVEH,Shape__Area,Shape__Length,Shape__Area_2,Shape__Length_2
1,01005950500,132.948949999999996,010059505.00,34,40,87,87,21,9,17,30,12,10,477873989.854026794433594,120331.594831625363440,267101.988281250000000,5555.312422657188108
2,01005950900,9.283020000000000,010059509.00,57,69,203,83,15,24,23,23,38,5,33423913.236180927604437,34769.572656230237044,137601.566406250000000,2544.916646078138911
3,01067030300,136.583519999999993,010670303.00,60,56,106,118,13,38,50,89,29,25,489274675.661875963211060,124695.036248013420845,881402.792968750000000,8332.976440093416386
4,13007960200,162.117179999999991,130079602.00,14,19,6,39,14,11,9,17,8,4,576968237.867187500000000,170366.318734155851416,576968237.738281250000000,170366.318594374693930
5,13037950100,188.162170000000003,130379501.00,116,156,573,4,15,117,63,145,40,11,672806141.265695452690125,137544.969554288283689,672806141.289062500000000,137544.969554312265245
6,13037950200,95.471559999999997,130379502.00,49,47,43,24,30,96,45,90,27,22,341394329.463390588760376,97219.720554939907743,341394329.458984375000000,97219.720554983883630
7,13061960100,108.580089999999998,130619601.00,56,67,150,64,18,57,37,80,22,13,389635654.510810613632202,90970.563780519281863,377875390.876953125000000,86464.228061918503954
8,13061960200,108.372200000000007,130619602.00,48,62,67,42,17,132,27,54,16,15,387733417.298804938793182,95006.497189644898754,381245934.699218750000000,93927.558884350073640
9,13099990100,132.553730000000002,130999901.00,55,66,56,62,10,138,38,50,49,15,472152439.537109375000000,99192.478728445494198,472152439.539062500000000,99192.478467097142129
10,13099990200,115.818899999999999,130999902.00,23,27,37,19,18,37,17,30,16,3,413408086.423828125000000,112051.969541484679212,405470553.390625000000000,109726.044620754153584
11,13099990300,56.455100000000002,130999903.00,20,24,20,17,16,43,14,23,9,8,201053866.822265625000000,61952.172059929034731,196203896.787109375000000,60739.218021501270414
12,13099990400,78.420900000000003,130999904.00,33,34,24,31,28,53,28,54,25,6,279182100.355468750000000,78205.474175731724245,279182100.437500000000000,78205.473869970272062
13,13099990500,133.124310000000008,130999905.00,21,23,61,4,13,21,17,31,19,4,472592303.859375000000000,93006.871900840284070,444219751.246093750000000,87901.856644247498480
14,13201950100,109.193330000000003,132019501.00,88,107,271,61,33,99,58,73,49,54,387467738.658203125000000,86392.012286629149457,387467738.648437500000000,86392.012363989910227
15,13201950200,42.654609999999998,132019502.00,34,36,52,24,21,51,27,35,28,18,151516707.244140625000000,58977.434274993647705,151516707.402343750000000,58977.434893785830354
16,13201950300,131.838979999999992,132019503.00,29,34,62,15,24,49,20,19,21,19,467634944.048828125000000,100551.304020890835091,467634943.712890625000000,100551.304081854628748
17,13239980200,63.684739999999998,132399802.00,91,48,7,78,44,59,122,110,230,22,229116790.484518647193909,76602.802406921808142,225111234.644531250000000,74041.607290885032853
18,13243990100,208.373940000000005,132439901.00,27,46,0,170,0,4,4,5,1,4,749387298.555368423461914,190369.020471807656577,749387298.589843750000000,190369.020471858239034
19,13243990200,222.468690000000009,132439902.00,58,49,9,85,25,70,60,97,59,28,798875613.525021314620972,130234.633667540503666,798875613.523437500000000,130234.633667578746099
20,13273980200,156.367539999999991,132739802.00,19,24,40,11,8,38,14,16,19,6,562960472.268759846687317,149977.800383736001095,562960472.275390625000000,149977.800383772322675
21,13273980300,23.793310000000002,132739803.00,139,166,120,52,120,389,95,161,83,49,85581562.371856108307838,44130.545279907026270,85581562.388671875000000,44130.545279914047569
22,13273980400,92.656139999999994,132739804.00,117,117,181,58,97,159,103,133,139,38,332596691.031655013561249,84927.511890886438778,332596691.025390625000000,84927.511890891270014
